,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
41,Londonberry Chapel,Bonnie Doon Stake,Route 16,45,2.0,3.0,15.0,18.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
42,Bearspaw Chapel,Gateway Stake,Route 33,45,4.0,3.0,109.0,21.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
43,Gateway Stake Centre ,Gateway Stake,Route 8,45,1.0,0.0,12.0,11.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
44,Riverbend Stake Centre,Riverbend Stake,Route 25,45,2.0,1.0,280.0,40.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
45,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 42,15,1.0,3.0,150.0,12.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
46,Edmonton North Stake Centre,Edmonton North Stake,Route 5 2.2,45,2.0,0.0,217.0,13.0,1.0,Namao Ward,2024,53.7242,-113.4799
47,Londonberry Chapel,Bonnie Doon Stake,Route 182,15,1.0,0.0,10.0,12.0,1.0,Clareview Ward,2024,53.5954,-113.4153
48,Riverbend Stake Centre,Riverbend Stake,Route 54,75,2.0,2.0,191.0,30.0,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
49,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 5,15,1.0,4.0,115.0,4.0,1.0,Connors Hill Ward,2024,53.5302,-113.4683
50,Bearspaw Chapel,Gateway Stake,Route 8,75,1.0,1.0,156.0,50.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
51,Edmonton North Stake Centre,Edmonton North Stake,Route 4-3.2,75,1.0,1.0,200.0,35.0,1.0,Namao Ward,2024,53.7242,-113.4799
52,Bearspaw Chapel,Gateway Stake,Route 13,45,2.0,0.0,20.0,35.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
53,Gateway Stake Centre ,Gateway Stake,Route 30,45,2.0,0.0,165.0,18.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
54,Gateway Stake Centre ,Gateway Stake,Route 5,15,1.0,0.0,1.0,10.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
